no_of_dependents,education,self_employed,income_annum,loan_amount,loan_term,cibil_score,residential_assets_value,commercial_assets_value,luxury_assets_value,bank_asset_value,loan_income_ratio,monthly_loan_payment,dti_ratio,total_assets_value,asset_to_loan_ratio,loan_status
5.0,1,0,3200000.0,10000000.0,14.0,610.0,2900000.0,3800000.0,8600000.0,3500000.0,3.1249990234378053,59523.80952380953,0.2232142857142857,18800000.0,1.8799998120000188,0
5.0,1,0,600000.0,2000000.0,20.0,811.0,300000.0,400000.0,1900000.0,600000.0,3.333327777787037,8333.333333333334,0.16666666666666669,3200000.0,1.5999992000004,0
0.0,1,0,3400000.0,10800000.0,6.0,439.0,5300000.0,1400000.0,11600000.0,1900000.0,3.1764696539795136,150000.0,0.5294117647058824,20200000.0,1.8703701971879447,1
0.0,1,1,7900000.0,24000000.0,20.0,728.0,18600000.0,15600000.0,21800000.0,7400000.0,3.037974298990595,100000.0,0.1518987341772152,63400000.0,2.641666556597227,0
3.0,0,0,3700000.0,9000000.0,6.0,483.0,9300000.0,400000.0,9900000.0,3600000.0,2.432431775018439,125000.0,0.40540540540540543,23200000.0,2.5777774913580567,1
3.0,1,1,5400000.0,14300000.0,4.0,595.0,4100000.0,2800000.0,19300000.0,4900000.0,2.648147657750434,297916.6666666667,0.6620370370370371,31100000.0,2.1748250227395087,0
0.0,1,1,9500000.0,32000000.0,2.0,500.0,8300000.0,9700000.0,24500000.0,5600000.0,3.368420698060979,1333333.3333333333,1.6842105263157894,48100000.0,1.5031249530273452,0
2.0,0,1,9400000.0,30000000.0,16.0,565.0,1200000.0,3900000.0,28200000.0,9000000.0,3.191489022182019,156250.0,0.19946808510638298,42300000.0,1.4099999530000016,0
4.0,1,1,3200000.0,12800000.0,8.0,638.0,4300000.0,2600000.0,8000000.0,3800000.0,3.999998750000391,133333.33333333334,0.5,18700000.0,1.4609373858642667,0
0.0,1,0,7000000.0,18300000.0,6.0,541.0,6300000.0,6400000.0,20800000.0,8300000.0,2.6142853408163798,254166.66666666666,0.43571428571428567,41800000.0,2.2841528806473836,1
5.0,1,0,6900000.0,19200000.0,12.0,408.0,10000000.0,5000000.0,24900000.0,9000000.0,2.7826082923756097,133333.33333333334,0.23188405797101452,48900000.0,2.5468748673502675,1
2.0,1,1,8700000.0,18900000.0,2.0,554.0,3900000.0,1900000.0,18000000.0,11500000.0,2.1724135434007423,787500.0,1.0862068965517242,35300000.0,1.8677247689034513,0
0.0,1,0,5700000.0,21300000.0,4.0,697.0,3000000.0,6800000.0,20000000.0,5500000.0,3.7368414496769384,443750.0,0.9342105263157895,35300000.0,1.6572769174987363,0
0.0,0,1,4100000.0,11100000.0,16.0,785.0,6800000.0,5300000.0,8500000.0,4800000.0,2.7073164128496554,57812.5,0.16920731707317072,25400000.0,2.2882880821362086,0
3.0,1,0,3300000.0,13100000.0,2.0,554.0,6000000.0,2500000.0,6700000.0,3800000.0,3.9696957667588584,545833.3333333334,1.984848484848485,19000000.0,1.4503815686731627,0
5.0,1,0,6400000.0,18300000.0,8.0,697.0,10000000.0,3600000.0,22500000.0,3600000.0,2.859374553222726,190625.0,0.357421875,39700000.0,2.169398788557443,0
4.0,1,0,9000000.0,29000000.0,16.0,590.0,4600000.0,15600000.0,29200000.0,12300000.0,3.2222218641975706,151041.66666666666,0.20138888888888887,61700000.0,2.1275861335315125,0
3.0,1,1,4900000.0,12700000.0,8.0,409.0,2000000.0,2500000.0,19300000.0,4700000.0,2.591836205747713,132291.66666666666,0.3239795918367347,28500000.0,2.2440943114886367,1
5.0,1,1,6400000.0,20300000.0,16.0,348.0,10000000.0,10900000.0,20400000.0,6900000.0,3.1718745043946086,105729.16666666667,0.1982421875,48200000.0,2.374384119488467,1
3.0,0,0,3800000.0,11800000.0,4.0,694.0,0.0,500000.0,8300000.0,5100000.0,3.1052623407204365,245833.33333333334,0.7763157894736842,13900000.0,1.177966001867288,0
3.0,0,1,5800000.0,17600000.0,6.0,720.0,4900000.0,4200000.0,18800000.0,6600000.0,3.0344822354340972,244444.44444444444,0.5057471264367817,34500000.0,1.9602271613507294,0
3.0,1,1,9000000.0,31500000.0,10.0,850.0,21800000.0,12400000.0,33700000.0,8000000.0,3.4999996111111544,262500.0,0.35,75900000.0,2.4095237330309924,0
4.0,0,1,2900000.0,5900000.0,18.0,621.0,200000.0,3100000.0,8500000.0,3500000.0,2.0344820570751527,27314.814814814814,0.11302681992337164,15300000.0,2.593219899454254,0
5.0,1,1,4200000.0,11200000.0,2.0,758.0,5300000.0,6500000.0,9600000.0,3800000.0,2.6666660317461828,466666.6666666667,1.3333333333333335,25200000.0,2.2499997991071607,0
3.0,0,0,4700000.0,10800000.0,8.0,527.0,13300000.0,3100000.0,13600000.0,4800000.0,2.297871851516627,112500.0,0.28723404255319146,34800000.0,3.2222219238683403,1
2.0,1,1,6300000.0,18100000.0,6.0,671.0,7900000.0,8200000.0,13200000.0,5400000.0,2.87301541698168,251388.88888888888,0.47883597883597884,34700000.0,1.9171269659045875,0
4.0,0,1,9200000.0,18600000.0,2.0,889.0,24850000.0,4200000.0,33300000.0,9700000.0,2.0217389106805532,775000.0,1.0108695652173914,72050000.0,3.873655705717435,0
2.0,0,0,2200000.0,4800000.0,6.0,721.0,1800000.0,100000.0,6900000.0,2200000.0,2.1818171900830956,66666.66666666667,0.36363636363636365,11000000.0,2.2916661892362105,0
1.0,0,0,2700000.0,8100000.0,16.0,691.0,2000000.0,3600000.0,8100000.0,2100000.0,2.9999988888893006,42187.5,0.1875,15800000.0,1.9506170431336984,0
0.0,1,0,3800000.0,14800000.0,10.0,390.0,5900000.0,5700000.0,9500000.0,4600000.0,3.894735817174785,123333.33333333333,0.38947368421052625,25700000.0,1.7364863691563264,1
0.0,0,0,5200000.0,12200000.0,16.0,783.0,5000000.0,2000000.0,11400000.0,5100000.0,2.346153394970501,63541.666666666664,0.1466346153846154,23500000.0,1.9262293503090697,0
3.0,0,0,1600000.0,3500000.0,10.0,844.0,4500000.0,2200000.0,5200000.0,1600000.0,2.1874986328133543,29166.666666666668,0.21875,13500000.0,3.8571417551023557,0
2.0,0,1,2700000.0,9500000.0,10.0,434.0,2700000.0,1500000.0,8100000.0,1800000.0,3.5185172153639943,79166.66666666667,0.35185185185185186,14100000.0,1.4842103700831188,1
0.0,1,1,2900000.0,7600000.0,8.0,320.0,8000000.0,5600000.0,9600000.0,3100000.0,2.6206887514866373,79166.66666666667,0.32758620689655177,26300000.0,3.4605258604571234,1
3.0,1,0,300000.0,500000.0,2.0,477.0,700000.0,200000.0,800000.0,400000.0,1.6666611111296297,20833.333333333332,0.8333333333333333,2100000.0,4.1999916000168,1
4.0,0,1,8600000.0,23300000.0,12.0,785.0,18800000.0,3800000.0,23500000.0,4500000.0,2.7093020105462777,161805.55555555556,0.22577519379844962,50600000.0,2.1716737265376085,0
0.0,0,0,3900000.0,14500000.0,8.0,545.0,5900000.0,3000000.0,10300000.0,3400000.0,3.717947764628778,151041.66666666666,0.4647435897435897,22600000.0,1.5586205821640977,1
4.0,1,1,3900000.0,12400000.0,12.0,473.0,6400000.0,4700000.0,13100000.0,3800000.0,3.1794863642342657,86111.11111111111,0.26495726495726496,28000000.0,2.2580643340270696,1
0.0,0,0,9400000.0,33000000.0,4.0,616.0,15400000.0,5000000.0,25100000.0,7800000.0,3.510637924400221,687500.0,0.8776595744680851,53300000.0,1.6151514662075313,0
5.0,1,0,3200000.0,7400000.0,2.0,838.0,2200000.0,2900000.0,10200000.0,3600000.0,2.3124992773439756,308333.3333333333,1.1562499999999998,18900000.0,2.554053708911661,0
3.0,0,0,3100000.0,11000000.0,2.0,543.0,5900000.0,2200000.0,9000000.0,2400000.0,3.5483859521335637,458333.3333333333,1.7741935483870965,19500000.0,1.7727271115702625,0
0.0,1,0,7900000.0,26200000.0,18.0,845.0,14200000.0,14700000.0,27400000.0,6300000.0,3.316455276398066,121296.29629629629,0.1842475386779184,62600000.0,2.389312885904088,0
1.0,0,0,3200000.0,7600000.0,4.0,592.0,3000000.0,1400000.0,8100000.0,4700000.0,2.374999257812732,158333.33333333334,0.59375,17200000.0,2.2631575969529476,0
5.0,1,1,5200000.0,18100000.0,8.0,809.0,2400000.0,6900000.0,14000000.0,5500000.0,3.4807685613906614,188541.66666666666,0.43509615384615385,28800000.0,1.5911601330850755,0
0.0,0,1,5000000.0,19900000.0,6.0,748.0,8300000.0,8500000.0,11300000.0,3000000.0,3.9799992040001593,276388.8888888889,0.6633333333333332,31100000.0,1.5628139918183923,0
2.0,0,0,4600000.0,17500000.0,20.0,597.0,11400000.0,6100000.0,14100000.0,4100000.0,3.8043469990550003,72916.66666666667,0.19021739130434784,35700000.0,2.039999883428578,0
1.0,1,0,2800000.0,6800000.0,18.0,596.0,7900000.0,400000.0,7300000.0,1500000.0,2.4285705612247996,31481.48148148148,0.1349206349206349,17100000.0,2.514705512543307,0
0.0,0,0,3100000.0,9300000.0,6.0,663.0,1300000.0,1400000.0,8100000.0,3800000.0,2.9999990322583767,129166.66666666667,0.5,14600000.0,1.5698923043126554,0
4.0,1,1,2300000.0,7700000.0,16.0,589.0,6000000.0,4400000.0,6300000.0,2300000.0,3.347824631380595,40104.166666666664,0.2092391304347826,19000000.0,2.4675321470737472,0
4.0,0,0,3500000.0,8900000.0,4.0,470.0,1300000.0,2200000.0,12300000.0,2000000.0,2.542856416326738,185416.66666666666,0.6357142857142857,17800000.0,1.9999997752809242,1
2.0,1,0,8000000.0,20000000.0,2.0,502.0,4100000.0,2200000.0,31600000.0,9900000.0,2.499999687500039,833333.3333333334,1.2500000000000002,47800000.0,2.389999880500006,1
1.0,1,1,300000.0,1000000.0,10.0,431.0,400000.0,500000.0,900000.0,100000.0,3.3333222222592593,8333.333333333334,0.33333333333333337,1900000.0,1.8999981000019,1
1.0,1,0,500000.0,1700000.0,2.0,680.0,700000.0,800000.0,1400000.0,700000.0,3.3999932000136,70833.33333333333,1.7,3600000.0,2.1176458131495215,0
2.0,1,1,1700000.0,5100000.0,18.0,321.0,2000000.0,2800000.0,5100000.0,1500000.0,2.9999982352951555,23611.11111111111,0.16666666666666666,11400000.0,2.2352936793541804,1
4.0,0,0,3500000.0,11600000.0,10.0,335.0,6300000.0,5200000.0,10300000.0,2300000.0,3.314284767347209,96666.66666666667,0.3314285714285714,24100000.0,2.077586027794308,1
1.0,0,0,1800000.0,5900000.0,16.0,804.0,800000.0,2500000.0,5000000.0,1000000.0,3.2777759567911353,30729.166666666668,0.20486111111111113,9300000.0,1.5762709192761153,0
5.0,0,1,5300000.0,18200000.0,16.0,546.0,14600000.0,7900000.0,13400000.0,4000000.0,3.4339616162336575,94791.66666666667,0.21462264150943397,39900000.0,2.192307571851232,1
4.0,1,0,7400000.0,18300000.0,10.0,601.0,16400000.0,12600000.0,28800000.0,6100000.0,2.472972638787481,152500.0,0.24729729729729732,63900000.0,3.4918030878796125,0
3.0,1,1,1800000.0,6400000.0,20.0,436.0,1500000.0,2900000.0,4400000.0,1300000.0,3.555553580248011,26666.666666666668,0.17777777777777778,10100000.0,1.5781247534180072,1
5.0,0,1,7200000.0,21300000.0,2.0,801.0,9900000.0,1700000.0,20400000.0,7200000.0,2.958332922453761,887500.0,1.4791666666666667,39200000.0,1.8403755004518545,0
2.0,0,0,4500000.0,9100000.0,18.0,593.0,-100000.0,600000.0,12400000.0,2500000.0,2.022221772839606,42129.62962962963,0.11234567901234567,15400000.0,1.6923075063398345,0
0.0,1,1,2000000.0,6900000.0,4.0,404.0,4900000.0,1600000.0,4200000.0,3000000.0,3.4499982750008624,143750.0,0.8625,13700000.0,1.9855069586221799,0
5.0,0,1,4800000.0,16300000.0,4.0,523.0,8800000.0,2300000.0,10000000.0,2800000.0,3.395832625868203,339583.3333333333,0.8489583333333333,23900000.0,1.4662575787572039,0
0.0,0,1,3800000.0,11200000.0,20.0,479.0,1100000.0,6400000.0,12000000.0,5400000.0,2.947367645429567,46666.666666666664,0.14736842105263157,24900000.0,2.223214087213028,1
0.0,1,0,9300000.0,31900000.0,2.0,331.0,7100000.0,11200000.0,23700000.0,8000000.0,3.430107158052994,1329166.6666666667,1.7150537634408602,50000000.0,1.5673980699875214,0
5.0,0,1,7700000.0,16800000.0,20.0,584.0,8600000.0,4800000.0,23400000.0,8000000.0,2.181817898465208,70000.0,0.1090909090909091,44800000.0,2.6666665079365175,0
0.0,0,1,6100000.0,19700000.0,16.0,678.0,13700000.0,2300000.0,19300000.0,5500000.0,3.229507667293825,102604.16666666667,0.20184426229508198,40800000.0,2.0710658847174677,0
5.0,0,1,7100000.0,20100000.0,4.0,700.0,16900000.0,2900000.0,15600000.0,4500000.0,2.8309855167626035,418750.0,0.7077464788732395,39900000.0,1.985074528105745,0
2.0,1,1,1500000.0,5000000.0,4.0,613.0,4400000.0,1300000.0,5200000.0,2100000.0,3.3333311111125927,104166.66666666667,0.8333333333333334,13000000.0,2.599999480000104,0
2.0,0,1,5700000.0,15100000.0,18.0,330.0,5900000.0,3800000.0,16600000.0,6200000.0,2.649122342259238,69907.4074074074,0.14717348927875243,32500000.0,2.1523177382571035,1
0.0,1,0,6000000.0,20600000.0,12.0,339.0,3400000.0,10700000.0,17200000.0,8200000.0,3.4333327611112066,143055.55555555556,0.28611111111111115,39500000.0,1.9174756350739983,1
2.0,1,1,7000000.0,23800000.0,10.0,689.0,8400000.0,5400000.0,15700000.0,7800000.0,3.3999995142857835,198333.33333333334,0.33999999999999997,37300000.0,1.5672268249064358,0
0.0,0,1,6700000.0,15600000.0,16.0,768.0,300000.0,1800000.0,26000000.0,3800000.0,2.3283578614391254,81250.0,0.1455223880597015,31900000.0,2.044871663790278,0
0.0,1,0,8400000.0,22300000.0,14.0,371.0,8300000.0,3700000.0,22300000.0,9100000.0,2.6547615887188587,132738.09523809524,0.18962585034013604,43400000.0,1.946188253534159,1
3.0,0,1,2900000.0,5800000.0,12.0,353.0,8400000.0,2600000.0,10100000.0,3100000.0,1.9999993103450655,40277.77777777778,0.16666666666666669,24200000.0,4.172413073721883,1
2.0,0,0,2800000.0,11000000.0,16.0,525.0,8200000.0,1800000.0,5800000.0,2400000.0,3.928570025510705,57291.666666666664,0.24553571428571427,18200000.0,1.654545304132245,1
1.0,0,1,7000000.0,20300000.0,18.0,726.0,11600000.0,13100000.0,17100000.0,9000000.0,2.899999585714345,93981.48148148147,0.1611111111111111,50800000.0,2.5024629309131563,0
5.0,0,1,3600000.0,12500000.0,12.0,795.0,10600000.0,2700000.0,11100000.0,4800000.0,3.4722212577163174,86805.55555555556,0.28935185185185186,29200000.0,2.335999813120015,0
5.0,0,0,2800000.0,7200000.0,16.0,424.0,900000.0,5000000.0,6100000.0,3200000.0,2.5714276530615523,37500.0,0.1607142857142857,15200000.0,2.111110817901275,1
1.0,0,0,8600000.0,26700000.0,10.0,735.0,11800000.0,9100000.0,20700000.0,11200000.0,3.1046508017847905,222500.0,0.3104651162790698,52800000.0,1.9775280158229207,0
4.0,0,1,2500000.0,8400000.0,12.0,761.0,6300000.0,1300000.0,8400000.0,1600000.0,3.3599986560005375,58333.333333333336,0.27999999999999997,17600000.0,2.0952378458050185,0
4.0,0,0,9200000.0,30300000.0,10.0,607.0,24000000.0,16600000.0,29600000.0,8900000.0,3.2934779028828367,252500.0,0.32934782608695656,79100000.0,2.610560969948483,0
0.0,0,1,9400000.0,36100000.0,10.0,615.0,21200000.0,3800000.0,27400000.0,9100000.0,3.8404251233590294,300833.3333333333,0.38404255319148933,61500000.0,1.703601060842076,0
3.0,0,1,7800000.0,20000000.0,14.0,727.0,4600000.0,7200000.0,17300000.0,8600000.0,2.564102235371508,119047.61904761905,0.18315018315018317,37700000.0,1.8849999057500046,0
1.0,0,1,4700000.0,14800000.0,6.0,661.0,8500000.0,6000000.0,13600000.0,6400000.0,3.1489355002264894,205555.55555555556,0.524822695035461,34500000.0,2.3310809235756134,0
2.0,0,1,4300000.0,12200000.0,14.0,719.0,5100000.0,2600000.0,14000000.0,5700000.0,2.837208642509618,72619.04761904762,0.2026578073089701,27400000.0,2.245901455253979,0
4.0,0,1,3800000.0,14000000.0,6.0,711.0,9500000.0,7300000.0,14500000.0,3100000.0,3.684209556786959,194444.44444444444,0.6140350877192982,34400000.0,2.4571426816326656,0
1.0,1,1,9100000.0,31400000.0,4.0,304.0,14100000.0,16700000.0,30200000.0,9600000.0,3.450549071368234,654166.6666666666,0.8626373626373626,70600000.0,2.2484075717067653,0
4.0,0,0,8100000.0,19000000.0,6.0,375.0,4100000.0,14500000.0,19100000.0,11900000.0,2.3456787227557134,263888.8888888889,0.39094650205761317,49600000.0,2.610526178393359,1
1.0,0,1,3500000.0,7200000.0,2.0,865.0,4100000.0,3200000.0,11900000.0,4200000.0,2.057142269387923,300000.0,1.0285714285714285,23400000.0,3.2499995486111737,0
3.0,0,1,6600000.0,16000000.0,10.0,510.0,1200000.0,4800000.0,13300000.0,6300000.0,2.424242056933022,133333.33333333334,0.24242424242424243,25600000.0,1.5999999000000062,1
5.0,1,0,2700000.0,8300000.0,8.0,833.0,4600000.0,1300000.0,6800000.0,3300000.0,3.0740729355285423,86458.33333333333,0.38425925925925924,16000000.0,1.9277106111192035,0
2.0,1,1,7400000.0,14900000.0,20.0,627.0,15900000.0,10100000.0,19000000.0,10300000.0,2.0135132414171295,62083.333333333336,0.10067567567567569,55300000.0,3.711409146885292,0
1.0,0,1,9000000.0,33500000.0,2.0,748.0,7900000.0,9800000.0,25700000.0,11500000.0,3.722221808642021,1395833.3333333333,1.861111111111111,54900000.0,1.638805921229674,0
2.0,0,1,2100000.0,8100000.0,4.0,592.0,2000000.0,2500000.0,7900000.0,2700000.0,3.857141020409038,168750.0,0.9642857142857143,15100000.0,1.8641973007163826,0
0.0,1,1,700000.0,2000000.0,18.0,650.0,400000.0,1300000.0,2800000.0,500000.0,2.857138775516035,9259.25925925926,0.15873015873015872,5000000.0,2.499998750000625,0
1.0,0,0,2000000.0,5000000.0,6.0,876.0,500000.0,2900000.0,5800000.0,1500000.0,2.499998750000625,69444.44444444444,0.41666666666666663,10700000.0,2.1399995720000855,0
0.0,0,0,4100000.0,15400000.0,16.0,304.0,3000000.0,5200000.0,16200000.0,3100000.0,3.756096644854477,80208.33333333333,0.23475609756097557,27500000.0,1.7857141697588201,1
2.0,0,0,1500000.0,3300000.0,4.0,763.0,300000.0,1200000.0,5400000.0,700000.0,2.1999985333343113,68750.0,0.55,7600000.0,2.303029605142544,0
5.0,0,1,7100000.0,20800000.0,6.0,442.0,2900000.0,7100000.0,28200000.0,7100000.0,2.929577052172246,288888.8888888889,0.48826291079812206,45300000.0,2.1778845106786293,1
4.0,0,1,2200000.0,5100000.0,6.0,308.0,3200000.0,2600000.0,6600000.0,3100000.0,2.318180764463289,70833.33333333333,0.3863636363636363,15500000.0,3.039215090349982,1
0.0,0,1,2500000.0,5400000.0,6.0,463.0,1900000.0,3500000.0,8200000.0,1800000.0,2.1599991360003457,75000.0,0.36,15400000.0,2.8518513237312364,1
0.0,0,1,6600000.0,21200000.0,18.0,377.0,1000000.0,9600000.0,14800000.0,9500000.0,3.212120725436254,98148.14814814815,0.17845117845117844,34900000.0,1.646226337442154,1
4.0,1,0,6200000.0,21900000.0,12.0,462.0,9400000.0,2000000.0,16600000.0,8300000.0,3.5322574947971783,152083.33333333334,0.29435483870967744,36300000.0,1.6575341708888507,1
5.0,0,1,6900000.0,18300000.0,4.0,402.0,12600000.0,13100000.0,23200000.0,6100000.0,2.6521735286705033,381250.0,0.6630434782608695,55000000.0,3.005464316641294,1
4.0,1,1,9300000.0,27500000.0,18.0,338.0,21500000.0,500000.0,34900000.0,6600000.0,2.956988929356029,127314.81481481482,0.16427718040621267,63500000.0,2.30909082512397,1
5.0,0,0,4000000.0,9100000.0,10.0,515.0,600000.0,6400000.0,9900000.0,5500000.0,2.274999431250142,75833.33333333333,0.2275,22400000.0,2.461538191039759,1
1.0,0,0,6800000.0,22900000.0,4.0,501.0,3900000.0,9400000.0,17300000.0,4400000.0,3.367646563581388,477083.3333333333,0.8419117647058824,35000000.0,1.528384212734314,0
0.0,0,1,3600000.0,8600000.0,6.0,529.0,3500000.0,3300000.0,11300000.0,5200000.0,2.3888882253088264,119444.44444444444,0.39814814814814814,23300000.0,2.7093020105462777,1
5.0,0,0,6700000.0,17700000.0,6.0,482.0,3200000.0,10400000.0,18500000.0,5700000.0,2.6417906504790074,245833.33333333334,0.44029850746268656,37800000.0,2.1355930996840056,1
1.0,0,1,6500000.0,20600000.0,2.0,306.0,15900000.0,1900000.0,18100000.0,3200000.0,3.16923028165688,858333.3333333334,1.5846153846153848,39100000.0,1.8980581602884388,0
4.0,1,0,3900000.0,9000000.0,2.0,674.0,8700000.0,5700000.0,14000000.0,3100000.0,2.307691715976483,375000.0,1.1538461538461537,31500000.0,3.4999996111111544,0
5.0,0,1,800000.0,1800000.0,8.0,881.0,300000.0,1100000.0,2600000.0,400000.0,2.2499971875035154,18750.0,0.28125,4400000.0,2.4444430864205073,0
0.0,1,0,1900000.0,3800000.0,16.0,542.0,800000.0,500000.0,4000000.0,2100000.0,1.999998947368975,19791.666666666668,0.125,7400000.0,1.9473679085873925,1
2.0,1,1,4300000.0,12900000.0,20.0,618.0,11400000.0,3600000.0,11400000.0,2400000.0,2.999999302325744,53750.0,0.15,28800000.0,2.2325579664683746,0
1.0,1,0,9900000.0,38700000.0,6.0,670.0,19400000.0,12600000.0,35800000.0,6500000.0,3.9090905142332812,537500.0,0.6515151515151515,74300000.0,1.9198965912171424,0
4.0,1,0,2400000.0,6000000.0,6.0,712.0,6800000.0,2200000.0,6000000.0,1200000.0,2.499998958333767,83333.33333333333,0.41666666666666663,16200000.0,2.699999550000075,0
5.0,0,1,6100000.0,22500000.0,6.0,776.0,17600000.0,9900000.0,13800000.0,4800000.0,3.6885239854878713,312500.0,0.6147540983606558,46100000.0,2.0488887978271646,0
5.0,0,1,3400000.0,11600000.0,16.0,479.0,9200000.0,5700000.0,11200000.0,2400000.0,3.4117637024224403,60416.666666666664,0.21323529411764708,28500000.0,2.4568963399227295,1
5.0,0,0,3700000.0,14000000.0,2.0,469.0,3800000.0,600000.0,8000000.0,2800000.0,3.7837827611397943,583333.3333333334,1.891891891891892,15200000.0,1.085714208163271,0
1.0,1,1,500000.0,1700000.0,18.0,617.0,400000.0,100000.0,1400000.0,500000.0,3.3999932000136,7870.37037037037,0.1888888888888889,2400000.0,1.4117638754330144,0
1.0,0,1,9700000.0,35900000.0,2.0,719.0,19600000.0,7600000.0,20400000.0,10900000.0,3.701030546285511,1495833.3333333333,1.8505154639175256,58500000.0,1.6295264170048351,0
1.0,0,1,7500000.0,21400000.0,20.0,655.0,13000000.0,10300000.0,28100000.0,8100000.0,2.8533329528889397,89166.66666666667,0.14266666666666666,59500000.0,2.7803737018516963,0
4.0,0,1,2500000.0,9000000.0,10.0,394.0,6700000.0,2000000.0,7300000.0,3000000.0,3.599998560000576,75000.0,0.36,19000000.0,2.111110876543236,1
2.0,1,1,3800000.0,12400000.0,8.0,340.0,1800000.0,2600000.0,9700000.0,2600000.0,3.2631570360113065,129166.66666666667,0.40789473684210525,16700000.0,1.3467740849375738,1
1.0,0,0,2700000.0,10000000.0,2.0,584.0,6500000.0,2700000.0,7700000.0,3400000.0,3.7037023319620994,416666.6666666667,1.8518518518518519,20300000.0,2.0299997970000203,0
5.0,0,1,2600000.0,8600000.0,18.0,651.0,1000000.0,100000.0,7800000.0,2600000.0,3.307691035503448,39814.81481481482,0.18376068376068377,11500000.0,1.3372091468361458,0
1.0,0,0,7900000.0,27100000.0,10.0,803.0,20000000.0,9800000.0,22200000.0,6600000.0,3.4303793126102136,225833.33333333334,0.3430379746835443,58600000.0,2.1623615438242973,0
5.0,1,0,6600000.0,13600000.0,4.0,861.0,11700000.0,8400000.0,14600000.0,5400000.0,2.060605748393068,283333.3333333333,0.5151515151515151,40100000.0,2.948529194961089,0
1.0,0,0,800000.0,2400000.0,16.0,872.0,2400000.0,1200000.0,1900000.0,900000.0,2.9999962500046875,12500.0,0.1875,6400000.0,2.6666655555560186,0
1.0,1,1,8700000.0,27500000.0,16.0,815.0,8000000.0,13400000.0,23600000.0,5900000.0,3.160919176905842,143229.16666666666,0.1975574712643678,50900000.0,1.8509090236033083,0
5.0,1,0,2800000.0,8200000.0,14.0,615.0,7400000.0,3300000.0,6700000.0,2700000.0,2.928570382653435,48809.52380952381,0.20918367346938774,20100000.0,2.4512192132659494,0
3.0,0,1,4300000.0,12800000.0,16.0,346.0,3300000.0,1100000.0,11900000.0,3800000.0,2.976743493780583,66666.66666666667,0.186046511627907,20100000.0,1.5703123773193455,1
2.0,1,1,4600000.0,18400000.0,2.0,555.0,7700000.0,2400000.0,14200000.0,4200000.0,3.9999991304349716,766666.6666666666,2.0,28500000.0,1.5489129592982087,0
2.0,0,1,8700000.0,26400000.0,2.0,778.0,8500000.0,2400000.0,28800000.0,10300000.0,3.034482409829608,1100000.0,1.5172413793103448,50000000.0,1.8939393221992682,0
1.0,1,1,200000.0,400000.0,6.0,768.0,300000.0,100000.0,600000.0,0.0,1.9999900000499997,5555.555555555556,0.3333333333333333,1000000.0,2.499993750015625,0
0.0,1,1,6100000.0,15900000.0,18.0,456.0,12900000.0,10800000.0,19100000.0,8800000.0,2.6065569497447623,73611.11111111111,0.1448087431693989,51600000.0,3.245282814762087,1
